"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Gnai3",738,999,2087,499,1514,445,1981,237,406,332,299,53,1716,1458,3498,1433,686,330,1862,177,1074,2389,699
"Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cdc45",883,90,764,45,108,656,268,36,71,36,193,151,831,271,711,377,206,5,747,55,983,125,29
"H19",0,53,8,4,0,0,0,0,0,0,3,10,29,4,9,0,0,0,0,0,28,0,0
"Scml2",157,8,97,4,24,9,86,264,8,213,126,12,99,61,103,95,1,0,89,1,247,1,112
"Apoh",19,4,4,0,0,0,15,14,3,1,1,4,3,0,9,0,7,0,5,9,2,6,4
"Narf",214,250,446,32,86,510,61,770,909,527,269,10,352,154,488,216,153,15,423,23,2233,1342,37
"Cav2",19,6,8,5,0,76,0,38,30,0,0,0,0,0,9,0,0,0,0,1,4,64,0
"Klf6",10157,2318,2466,1058,469,2617,810,7530,922,1122,189,88,607,639,8748,1895,949,1117,693,193,3454,6453,2465
"Scmh1",871,876,2878,15,166,754,327,4256,494,530,880,611,863,247,739,932,445,280,517,954,1322,1111,655
"Cox5a",1317,2040,1734,421,735,983,2803,3068,1044,1277,6,1370,2052,859,4896,2194,500,250,2281,142,2365,6437,2130
"Tbx2",0,19,0,0,0,0,0,0,0,0,2,1,10,0,3,0,0,1,0,0,0,0,0
"Tbx4",133,57,194,9,0,20,47,109,22,0,124,109,139,72,146,111,34,36,25,31,44,0,73
"Zfy2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ngfr",0,16,0,0,0,0,0,0,0,0,3,12,30,0,27,0,0,0,0,0,0,0,0
"Wnt3",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,40,0,0,0,3,0,0,0
"Wnt9a",117,17,48,10,1,125,12,0,0,22,21,106,41,27,45,57,0,17,7,7,58,133,55
"Fer",410,55,255,66,15,25,66,88,61,975,108,60,219,108,287,156,103,46,121,183,389,91,64
"Xpo6",6510,139,217,70,52,482,223,1357,187,641,129,458,192,269,356,622,189,154,446,278,1186,639,241
"Tfe3",472,853,896,70,73,966,663,2641,83,1286,918,1120,1477,133,447,814,374,197,504,470,1570,1580,1025
"Axin2",1284,82,98,4,36,333,765,570,46,31,96,467,262,84,129,307,48,85,66,275,296,198,235
"Brat1",330,681,522,63,13,330,352,1029,939,1081,668,446,810,281,185,317,416,100,373,305,1046,1793,897
"Gna12",393,119,416,99,1,231,437,329,250,239,280,573,427,179,301,370,71,41,282,179,732,789,187
"Slc22a18",0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,36,0,0,1,2,300,24
"Itgb2l",90,0,2,0,0,0,0,0,0,6,31,53,0,9,3,0,0,0,10,0,34,0,0
"Igsf5",1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Pih1d2",75,20,38,8,0,4,37,90,20,10,6,47,74,59,84,0,0,0,45,7,39,6,26
"Dlat",2323,1033,762,31,371,952,288,1519,693,569,25,129,996,708,2970,1316,140,145,1103,184,1470,2613,710
"Sdhd",1665,88,451,56,977,706,918,723,346,272,10,390,698,782,663,551,286,24,1109,23,2525,1048,249
"Fgf23",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,66,0,0,0,0,0,0
"Fgf6",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Ccnd2",2987,1723,20540,1617,878,259,7463,8228,489,4588,3763,2207,10453,4760,5400,5226,3567,2093,3490,1220,5850,8965,2930
"Gpr107",222,47,889,38,943,699,160,885,206,617,398,160,233,242,437,525,171,127,310,193,1136,1301,305
"Nalcn",17,1,15,0,0,74,113,660,215,15,1,50,24,30,37,17,0,6,2,79,69,22,53
"Btbd17",44,33,18,0,0,0,150,114,0,0,49,43,23,9,56,0,0,32,242,90,55,0,0
"Slfn4",18,0,12,0,0,0,0,45,4,0,6,1,6,13,38,1,26,3,0,1,0,0,0
"Th",908,30,60,10,0,2337,1170,2779,690,1417,201,278,166,181,213,134,104,26,107,74,3856,3272,1299
"Ins2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"Scnn1g",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0
"Drp2",112,67,202,52,102,0,135,267,22,0,427,81,86,319,193,145,95,59,17,36,359,46,1
"Tspan32",103,0,10,4,0,0,0,1,0,0,11,13,16,1,1,13,4,0,14,0,4,0,0
"Lhx2",12,11,0,0,0,0,0,0,0,0,1,6,6,0,0,16,0,1,2,0,0,0,0
"Clec2g",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,4,0
"Gmpr",4133,2004,2315,296,1748,288,3569,6084,1383,1508,13,1356,2223,2011,2022,2298,770,466,2741,356,3851,6198,2193
"Glra1",7,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0
"Mid2",9,7,8,4,31,0,43,0,0,0,14,5,11,2,4,16,66,0,0,0,0,0,0
"Trim25",474,300,273,48,13,159,38,417,73,834,153,606,205,43,325,285,122,64,174,137,505,360,289
"Dgke",51,127,390,43,6,374,241,45,22,398,76,282,279,152,238,262,35,50,117,234,127,21,260
"Scpep1",1823,195,1473,82,258,710,1007,4375,59,465,210,53,1196,428,3063,806,364,356,230,293,1997,2614,279
"Mnt",391,50,61,13,121,18,156,509,86,17,63,301,92,28,76,102,104,43,56,160,101,272,55
"Itgb2",1,0,0,0,0,0,0,0,0,0,12,6,7,0,0,7,0,0,0,0,0,0,0
"Hddc2",85,293,428,79,421,92,324,589,39,147,7,119,470,453,860,589,64,39,590,41,435,768,64
"Tpd52l1",502,445,348,81,976,20,125,192,99,241,6,162,273,417,621,808,75,27,1022,31,234,602,42
"Pemt",6,129,74,26,92,168,84,270,159,74,2,84,136,66,145,101,40,8,160,25,268,631,49
"Cdh1",456,214,491,31,0,519,459,396,137,91,239,217,573,206,626,502,0,116,115,295,422,447,174
"Cdh4",34,13,61,10,10,32,2,3,31,0,27,8,24,26,34,1,0,5,21,0,116,0,0
"Ckmt1",0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"Bcl6b",0,1,0,0,0,0,0,0,0,1,8,3,7,2,9,0,0,0,0,0,14,0,0
"Clec10a",304,46,95,9,0,26,92,36,84,57,11,105,84,69,62,83,23,1,117,0,180,245,42
"Alox12",8,1,6,1,0,29,49,34,6,36,10,5,26,15,11,21,0,0,0,1,59,1,0
"Comt",376,1333,735,61,133,320,321,196,190,234,9,305,803,461,486,583,199,56,987,100,377,1141,202
"Rtca",815,372,641,63,167,441,1267,1304,208,65,4,332,579,318,969,611,118,54,664,78,885,1821,563
"Dbt",36,31,82,22,105,14,71,202,18,659,105,29,87,91,77,91,46,19,67,46,424,0,113
"Dazap2",11073,115,1101,347,1151,3093,2001,5617,1173,6106,30,1245,1167,1573,1429,1430,758,408,1514,876,8331,6291,820
"Mcts1",201,20,83,19,36,10,210,95,47,39,1,21,64,71,118,76,21,38,6,0,287,85,39
"Rem1",33,30,6,1,0,80,68,184,0,47,1,40,24,17,50,0,0,8,4,4,10,820,20
"Rnf17",460,68,193,10,0,211,242,129,54,712,72,80,143,77,294,194,7,1,221,1,768,957,0
"Trappc10",40,24,243,5,174,104,205,608,102,420,244,234,220,71,67,48,214,32,98,125,609,334,214
"Ccm2",836,108,469,128,211,99,87,0,109,38,55,160,297,215,387,0,225,49,328,17,148,440,29
"Wap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tbrg4",1523,331,804,82,6,97,285,1358,48,450,717,115,903,307,1050,440,376,132,396,146,709,793,284
"Tmprss2",76,0,1,0,0,0,4,0,0,0,7,10,1,6,0,0,0,0,0,0,0,0,0
"Mx1",68,0,9,0,0,0,0,2,0,0,1,2,0,0,4,1,0,0,0,0,0,0,0
"Fap",4,0,4,1,0,0,0,0,0,0,1,2,1,2,0,3,0,0,0,0,0,0,0
"Gcg",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ndufa9",3360,568,598,76,152,268,1556,2477,642,1502,5,668,809,683,1132,715,321,12,1371,63,3289,4093,355
"Egfl6",0,23,11,2,0,94,0,0,0,0,0,3,14,1,10,0,0,0,0,0,44,0,0
"Lck",79,22,33,21,1,0,0,111,61,0,13,15,33,25,35,5,22,1,43,0,175,38,12
"Tssk3",0,0,0,1,0,0,0,0,6,0,9,0,4,0,8,31,0,0,0,0,0,0,0
"Cttnbp2",159,13,105,18,3,95,42,133,29,396,51,2,70,43,69,0,56,23,12,41,264,0,107
"Galnt1",1836,254,144,60,255,158,245,659,4,76,547,96,282,152,237,132,341,102,311,159,262,502,102
"Myf5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
"Mkrn2",1589,1097,2284,59,238,1920,2138,4396,1102,98,113,1415,2434,1005,1899,1078,783,227,1383,393,4231,4337,1066
"Pparg",87,6,57,9,20,12,2,0,6,0,34,14,51,31,116,13,38,0,29,4,27,0,0
"Raf1",5285,2321,3217,267,255,5386,1128,2837,1050,121,362,865,3137,1647,5543,2306,1147,563,2137,1131,3957,3550,1537
"Septin1",21,1,9,2,15,10,4,74,2,0,9,13,16,16,24,16,0,0,21,2,15,50,8
"Pdgfb",919,107,417,24,21,24,182,1196,173,35,219,306,381,54,289,421,0,63,220,97,432,391,227
"Acvrl1",36,7,21,0,0,98,13,104,0,0,1,1,4,0,22,0,0,14,0,0,29,12,0
"Tamalin",893,132,239,86,45,0,0,18,21,24,23,314,338,121,69,0,197,39,210,34,8,47,22
"Acvr1b",213,71,250,5,3,76,76,719,141,179,240,124,286,36,185,201,0,57,30,276,133,254,67
"Tom1l2",556,762,2506,252,696,2490,894,2320,1288,1316,4211,146,1566,789,600,1375,948,428,770,1555,3249,2939,1049
"Gpa33",0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
"Zfp385a",189,15,52,16,87,136,0,113,89,0,18,67,49,35,80,1,120,14,41,131,69,46,44
"Itga5",2,53,71,25,8,198,35,352,155,101,74,23,202,61,130,101,23,11,85,92,294,203,1
"Gabra2",0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
"Wdr77",454,255,938,72,148,212,59,314,9,159,12,33,421,447,822,212,210,85,415,59,262,268,138
"Adora3",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0
"Atp5pb",2987,1254,2409,570,958,1042,2387,2495,950,2094,4,436,2072,1935,4598,1924,700,269,2686,164,2012,6524,2276
"Sox9",384,65,99,24,66,103,268,0,46,0,26,12,21,31,32,0,59,41,0,82,115,0,51
"Hnrnpd",426,46,151,9,67,36,223,527,24,13,23,255,198,52,233,136,90,7,211,158,259,0,32
"Dynlt1c",1,5,7,12,7,6,6,4,9,0,1,8,11,2,3,4,4,0,0,0,1,13,0
"C1d",542,150,293,61,757,225,407,447,92,927,5,79,254,228,771,324,136,53,537,25,797,1473,225
"Gm2a",1186,435,583,245,696,126,191,476,9,250,35,65,124,797,1728,643,282,72,961,44,172,800,113
"Krit1",687,301,420,30,74,73,18,591,116,923,333,20,358,272,557,182,258,51,335,149,210,975,198
"Clcn4",1189,550,861,230,2,612,210,1470,146,290,340,128,1100,393,1441,388,420,59,881,63,996,1576,315
"Vmn2r88",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Grm6",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0
"Sema4f",0,9,30,2,0,194,0,0,29,0,0,30,8,8,22,0,0,5,1,31,211,551,0
"Hk2",79,89,99,13,32,28,0,0,0,0,21,27,113,47,98,85,14,0,152,2,56,0,0
"Myo18a",586,193,490,107,256,114,703,271,581,1113,1124,82,643,163,149,351,350,153,257,328,1792,60,360
"Sez6",0,1,12,1,0,0,0,0,0,0,0,21,6,0,8,0,0,0,0,0,36,0,60
"Haao",0,5,0,1,0,33,1,0,0,0,4,4,9,5,7,8,0,3,1,0,55,0,0
"Cd52",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2
"Abhd15",31,27,148,21,65,2,73,20,46,7,23,116,83,64,39,127,0,12,101,35,17,103,36
"Hoxb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loxl3",280,212,196,29,32,8,196,17,77,14,174,75,303,106,154,188,84,7,316,10,177,100,81
"Tcl1b5",22,1,0,0,0,0,0,0,0,0,20,9,8,14,6,0,0,0,0,0,0,0,0
"Btn1a1",532,40,100,28,0,0,517,525,77,358,113,68,161,64,131,0,0,33,0,38,465,75,222
"Kat2b",160,22,36,6,0,29,47,60,1,106,16,19,25,7,22,17,30,12,1,71,19,0,0
"Rab5b",606,37,266,62,235,488,142,404,22,579,268,10,142,136,133,321,56,56,228,156,630,381,78
"Cryba1",11,0,1,2,0,3,15,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dnmt3l",62,54,116,23,0,0,0,0,0,0,24,9,58,43,112,4,0,0,16,0,0,0,0
"Aire",0,13,24,7,0,0,0,0,0,0,29,16,17,20,42,23,0,0,14,1,3,0,0
"Icosl",591,201,328,59,162,232,358,284,354,0,70,255,381,186,312,334,93,112,122,108,653,305,253
"Spg7",1775,57,320,57,468,123,5,612,136,122,41,348,417,296,326,564,105,63,568,54,271,410,179
"Sult5a1",109,29,140,9,17,57,74,495,71,0,4,21,123,26,71,75,11,11,67,1,279,391,34
"Rpl13",463,3129,2468,1974,4631,649,2745,5748,1920,2910,78,3820,4890,2528,6997,4582,1557,666,5374,328,3102,10043,2868
"Chmp1a",2952,1584,352,82,45,1683,1227,4284,99,1596,745,197,1448,352,1296,943,392,155,1061,111,2118,4032,1805
"Rpa1",6465,1463,3177,52,54,2284,1530,9059,2552,897,1939,556,2710,1010,2590,2324,545,180,2412,396,6581,8476,2328
"Serpinf1",2297,1064,1466,454,895,191,605,197,209,0,758,638,1634,1267,3236,1676,524,609,479,150,678,730,215
"Tubgcp3",508,464,1026,38,111,62,122,874,300,1572,331,25,612,354,850,291,316,85,516,189,1164,924,311
"Oprm1",15,2,9,0,0,0,1,0,3,0,6,17,11,7,5,9,1,4,0,1,6,0,0
"Polr3d",466,362,880,27,487,353,281,2391,406,377,6,441,456,276,1303,440,264,131,449,126,1007,2088,511
"Tcf7",1418,82,269,33,48,32,386,393,137,3,102,217,373,172,159,309,93,75,188,185,377,256,13
"Ddx3x",1722,327,2426,299,273,268,878,1293,785,1285,4415,172,1806,274,1908,1442,742,120,1706,359,3617,1309,376
"Il12rb1",0,7,18,6,0,0,30,0,0,0,1,6,13,19,15,16,1,2,10,0,50,0,0
"Slc5a5",106,9,9,0,0,0,20,6,0,0,0,13,1,11,1,28,0,1,1,3,25,1,1
"Kcnn3",8,1,6,1,0,0,0,0,0,0,6,0,8,0,6,0,2,0,0,0,83,0,0
"Usp32",582,27,127,33,3,233,171,462,96,1198,232,84,120,39,65,110,95,22,102,257,388,154,142
"Car4",0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Txnrd3",1155,606,500,9,380,1413,413,1394,146,3339,62,598,597,171,1087,621,227,142,471,296,2017,2425,892
"Fasl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zfp512b",1672,499,1307,331,28,1340,181,63,425,276,323,295,611,489,660,799,321,195,610,797,543,253,314
"Dnajc5",441,2233,3921,541,501,568,3354,924,247,5067,1219,254,3196,1681,3397,1864,1211,705,1324,1631,3155,2360,1104
"Tpd52l2",1932,1076,1772,152,47,1076,514,1834,278,2663,17,735,1376,908,1360,806,490,108,1412,130,3145,2975,784
"Fmr1",2191,55,287,21,303,82,45,224,96,654,146,44,116,94,345,128,188,48,378,267,143,179,120
"Bcl11a",660,445,547,123,518,261,509,47,48,6,501,445,827,220,968,578,396,218,347,460,313,253,126
"Il4",15,1,3,2,4,3,7,21,2,11,11,1,3,1,3,5,1,0,1,0,0,26,0
"Pxmp4",162,90,156,16,41,317,444,823,78,4,9,97,116,98,322,166,18,8,173,24,289,884,305
"Dlg3",63,18,18,0,1,23,0,29,16,0,16,23,16,9,13,27,5,6,11,44,5,0,5
"Gnb1l",485,238,238,8,123,70,35,1734,248,143,44,225,570,250,292,408,54,35,377,75,551,890,161
"Dbh",0,10,0,0,0,0,0,0,0,0,0,1,11,4,20,11,0,1,1,0,5,0,0
"Mmp11",250,1274,1110,530,3016,684,1698,1284,586,744,58,891,593,1196,2885,1962,502,413,1524,344,1272,3357,1160
"Smarcb1",1766,3289,1888,166,246,701,1262,2288,1354,6351,106,845,3867,1873,4744,2176,802,387,2130,242,3733,7930,2066
"Vpreb3",4,3,7,5,5,0,0,0,0,25,3,4,4,8,9,1,0,0,6,0,35,0,0
"Hip1r",1309,809,1114,54,391,4788,1873,270,1328,7217,1222,1501,1212,490,394,1028,618,286,570,1304,3201,5265,2307
"Nsun5",2517,349,327,31,52,135,421,238,74,1116,98,550,585,338,151,90,393,82,486,173,642,932,284
"Top1mt",340,251,334,74,38,0,114,373,24,0,117,150,278,196,400,140,133,29,241,17,216,37,115
"Hoxa10",13,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hoxa4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm38393",9,2,7,5,3,9,50,137,5,305,4,18,6,6,9,1,20,0,1,37,1,0,0
"Mmp14",12283,942,690,314,571,2583,372,1407,128,129,528,623,652,968,1632,2714,170,339,1903,1341,596,1390,421
"Slc7a7",128,30,51,14,45,11,39,324,34,0,35,31,49,48,21,1,41,7,59,26,142,0,51
"Oxa1l",108,459,2040,795,691,619,560,2337,338,457,37,638,1506,1880,1338,1005,652,250,1298,171,1584,2256,686
"Heatr6",3513,221,716,74,53,478,69,2117,94,45,535,294,754,433,722,777,220,104,704,197,927,321,372
"Ccl3",7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"Wfdc18",0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Icam4",72,3,30,0,38,0,0,0,0,0,6,2,7,14,34,0,0,0,28,1,0,210,0
"Ilf2",469,317,1388,584,1516,622,237,3123,193,724,68,176,1568,1768,3611,626,926,160,1821,106,2026,2189,357
"Chtop",3043,1180,1938,124,1019,236,2211,59,731,858,678,192,2101,1249,3803,1911,654,278,2037,393,1601,2146,751
"Snapin",2054,864,1537,83,468,443,2007,1501,653,2866,6,271,931,780,2424,964,357,190,1129,77,2186,5865,1181
"S100a4",0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,8,0,0
"S100a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a6",2,35,3,0,4,0,8,32,0,0,0,0,40,4,18,0,20,0,0,0,36,0,0
"Scn4a",0,0,0,4,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,1,0,0,0
"Icam2",0,0,0,0,0,32,0,0,5,0,1,3,0,0,4,0,0,0,0,4,18,0,0
"Mapk7",2115,591,944,137,148,380,247,14,304,2011,441,239,925,390,916,906,297,215,625,718,435,1129,188
"Epn2",2915,3950,10946,591,72,1241,3360,3614,711,3716,4454,609,5960,2357,5882,4422,1740,944,3328,1787,5314,3460,2701
"B9d1",385,330,63,29,9,86,414,489,141,25,43,77,153,116,395,196,61,15,227,32,670,451,69
"Sec24b",6292,1801,862,92,385,243,861,4209,1623,2143,2217,517,1053,941,318,1416,856,515,829,1958,1739,796,998
"N4bp3",261,184,242,90,478,0,29,0,20,0,101,92,259,137,301,0,176,13,439,6,9,0,45
"Rmnd5b",402,360,995,146,425,85,757,103,62,1106,36,128,324,592,1149,438,279,131,516,85,796,678,432
"Nhp2",3504,728,898,148,560,130,206,1740,548,1016,5,920,1298,700,2149,1189,396,82,1767,40,792,2153,785
"Vps9d1",87,944,862,191,52,756,281,360,182,1439,80,412,452,374,711,432,322,178,297,418,548,1194,526
"Zfp276",311,588,1879,127,13,392,1278,1882,293,231,525,753,1378,410,598,611,497,199,479,452,1040,638,1037
"C1ql4",0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0
"Mfsd10",1956,647,505,128,788,1095,185,478,138,10,396,193,964,645,999,883,412,192,1011,54,662,914,313
"Luzp1",1415,369,505,17,2,486,452,661,422,292,310,775,753,320,765,306,460,137,193,416,966,402,535
"Slc13a2",12,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,4,1,0,0,195,20
"Kctd10",2472,239,1665,119,200,907,579,1801,164,4712,1960,241,1822,406,638,1566,76,222,941,183,2424,3917,1314
"Poldip2",1681,2332,796,152,543,1517,394,1370,582,366,17,591,1356,1006,3016,1096,619,193,1735,287,1413,2741,810
"Sebox",77,46,99,7,0,0,0,0,16,0,9,8,68,35,43,1,14,0,66,2,54,0,2
"Ift20",753,232,362,45,528,247,330,376,52,1038,3,261,377,289,825,480,133,25,711,15,674,1597,182
"Col6a1",225,483,157,158,203,113,33,7,0,0,70,19,293,161,105,582,8,0,740,31,120,0,36
"Pcbp3",1086,63,84,5,178,602,248,3610,144,173,257,150,148,114,165,226,97,35,211,66,1064,1616,622
"Lgals9",106,16,11,19,8,107,11,136,8,13,1,36,37,26,45,57,0,0,44,8,101,148,1
"Araf",709,75,600,163,50,470,465,3624,13,1379,539,186,410,434,165,283,305,40,450,131,1700,2575,283
"Cfp",15,7,7,13,0,9,11,54,0,0,9,19,3,20,8,0,24,0,12,10,46,0,0
"Timp1",100,58,156,30,53,253,50,274,305,50,2,109,122,161,215,116,54,11,143,24,779,130,137
"Uxt",98,40,69,13,46,2,70,554,83,187,3,57,112,60,135,114,8,5,113,30,162,319,111
"Cnnm3",283,50,235,54,97,650,54,93,22,190,42,360,195,119,97,190,106,8,285,220,260,89,155
"Lman2l",1165,131,132,18,261,872,673,133,253,103,183,26,120,207,415,246,135,98,119,146,731,878,369
"Mcm3ap",1683,438,883,78,108,351,185,6237,544,679,1885,386,1090,316,342,658,572,176,542,574,2250,566,1083
"Pcnt",5964,719,1684,117,99,387,572,1651,1352,2177,3465,2148,3534,514,875,2058,726,427,1195,373,2617,2617,1637
"Ftcd",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Mxd1",1067,554,1144,22,41,984,129,1569,46,928,186,221,258,192,1463,658,116,177,210,430,661,933,445
"Gmcl1",2178,98,227,40,62,373,86,325,17,41,13,79,164,272,180,270,77,1,567,46,38,878,0
"Snrnp27",893,256,326,23,142,102,189,176,347,564,3,378,301,130,564,298,131,1,598,25,713,1126,140
"Oas1c",5865,549,1997,240,2,4898,2357,4743,2116,4366,965,1719,2241,971,1754,1520,694,485,648,397,16260,3917,687
"Oas1h",1967,150,398,68,0,2217,2359,5399,927,2000,218,415,641,296,506,493,137,204,43,239,5551,3905,641
"Ocrl",28,159,520,97,301,369,532,103,538,775,653,127,473,219,553,301,341,156,80,636,896,417,211
"Calm1",10673,4489,4787,1244,3948,2939,2191,5583,1999,5376,9,4046,4788,3469,13209,5937,2104,872,7385,310,6807,10971,4150
"Agpat3",238,103,479,50,13,488,100,2155,455,64,60,314,366,136,199,226,117,35,241,146,778,1060,392
"Slc26a3",7,0,1,0,0,0,20,0,0,0,3,4,1,11,2,2,0,0,0,0,0,0,0
"Sema6b",78,0,2,2,0,0,0,30,5,0,2,21,1,11,2,23,0,0,0,99,1,0,0
"Uhrf1",11071,4195,8891,753,47,8916,6464,19988,9096,984,10815,5862,9201,4258,7215,7105,2492,1323,4328,3131,21455,11818,9549
"Dpp9",133,768,861,37,103,197,1352,1963,99,929,87,657,712,355,380,501,256,122,411,390,1275,1071,528
"Ramp2",333,347,70,9,12,441,42,476,157,126,10,79,151,75,155,1,91,22,164,19,147,1068,226
"Lsr",500,1036,395,121,385,718,705,201,208,1588,96,755,208,380,114,882,97,96,736,302,804,1632,578
"Gramd1a",676,757,791,326,685,494,366,607,170,0,196,328,822,564,1048,391,458,146,846,159,373,623,489
"Hpn",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gabrg1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,22,0,0,0,0,0,0
"Ckb",6922,865,2987,55,10,5930,9379,19439,5621,9422,3017,5441,2654,1434,3084,2064,1309,515,1012,441,11602,27576,13431
"Sp1",475,38,178,41,66,387,230,3,92,200,130,216,132,54,154,73,168,62,39,139,627,93,48
"Itgb7",0,1,6,2,0,11,5,0,1,0,3,0,1,3,1,0,0,0,0,0,0,0,0
"Myg1",1777,74,592,66,31,262,75,2671,290,818,42,198,1036,510,875,411,228,30,678,54,790,971,1018
"Rarg",45,20,4,0,48,0,0,0,1,1,1,1,1,1,5,18,0,0,0,1,17,72,0
"Pfdn5",390,702,560,317,1620,225,1855,1823,605,1142,19,828,716,878,2012,1225,372,11,2037,39,2110,4665,484
"Efnb2",15,21,31,7,33,13,126,186,37,306,3,30,98,44,13,41,18,1,60,53,60,52,34
"Rrp15",604,323,433,11,93,4,222,192,115,427,306,216,555,154,426,323,205,64,349,45,414,549,77
"Rnd2",233,115,213,87,255,523,28,528,338,125,32,484,291,104,114,410,48,89,188,190,344,604,235
"Srr",42,127,864,74,217,381,364,1047,19,525,106,42,616,389,703,297,205,131,176,171,725,849,269
"Sync",40,1,9,4,11,0,24,1,0,0,19,19,10,11,21,0,28,0,13,9,25,0,0
"Fndc5",376,157,262,79,120,0,124,321,57,0,40,104,211,149,205,386,1,14,360,47,228,20,67
"Acp5",257,108,173,11,0,141,72,128,129,0,33,70,123,87,103,190,0,29,81,13,297,0,169
"Cnn1",74,11,32,4,0,65,62,86,18,0,35,27,11,8,43,0,0,2,8,0,60,0,54
"Fbxo9",639,261,588,46,309,712,17,405,558,260,63,53,451,429,994,34,360,81,443,164,727,824,422
"Vps50",812,35,240,39,22,227,253,1388,220,412,534,18,350,104,137,211,127,68,99,247,1050,211,123
"Hars1",452,104,311,156,399,386,175,1980,74,963,623,18,1066,700,435,464,300,24,830,36,1806,1315,133
"Zmat2",71,189,666,51,212,1026,231,184,278,142,39,345,643,412,676,530,75,22,562,19,1131,1393,84
"Ube2c",6384,1094,3315,183,502,4626,3867,12837,3678,7856,16,2778,6063,2972,3282,3232,768,489,2756,197,7191,22044,8293
"Smg5",75,696,1319,209,19,527,741,1348,164,2250,608,249,884,464,810,659,339,119,611,643,1334,1355,539
"Cct3",329,730,3171,1702,630,2194,1448,3795,624,1982,421,177,6048,3645,5375,1898,1435,323,3278,275,7187,4127,553
"Glmp",3250,50,216,124,441,558,777,4193,77,130,159,144,396,554,605,641,178,47,817,69,1604,2511,282
"Mef2d",6663,163,290,104,399,545,2169,533,619,2001,549,1860,527,185,565,693,740,283,431,1135,1295,1288,1048
"Tmem79",123,18,47,13,4,57,230,2,13,34,57,22,46,25,29,13,41,12,17,10,138,322,8
"Snd1",1359,1634,6753,279,245,2256,167,11392,2239,4269,880,609,5280,2281,4489,2518,1303,534,2414,2749,3897,4033,1708
