"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Abcg4",1,0,1,5,0,0,0,0,0,0,0,0,0,1,2,1,74,0,0,24,40,0,0
"Mcam",0,7,30,5,76,0,0,0,20,0,2,4,8,26,36,0,0,4,5,1,60,0,0
"Pin1",1451,298,831,170,698,30,455,743,151,50,11,252,971,796,1641,891,271,34,1454,33,373,776,234
"Olfm2",2,0,0,0,0,1,0,64,8,0,5,8,1,3,1,1,0,0,0,7,9,0,1
"Icam5",0,0,0,1,1,0,17,0,0,0,0,3,1,0,0,0,0,0,0,20,0,0,0
"Tyk2",141,180,335,41,0,1013,659,2634,317,374,566,161,302,177,272,303,32,88,43,88,1364,2014,957
"Pde4a",180,114,120,16,36,0,46,231,26,0,21,69,149,69,111,0,0,16,36,10,112,420,57
"Ilf3",2683,2658,5196,1848,497,2650,1098,3357,1165,485,4118,64,5515,3832,4895,2498,2581,488,5017,604,5742,3741,934
"Bmp5",0,184,116,20,0,0,1,0,10,0,64,1,166,19,101,0,0,10,20,0,2,0,0
"Tmed1",1832,1216,999,206,1652,253,699,646,193,271,5,724,1013,1138,2482,1114,612,78,2395,78,962,1375,294
"Scg3",464,142,178,21,0,95,107,267,226,0,22,68,126,73,287,153,30,3,231,43,92,0,295
"Yipf2",198,102,383,88,303,1037,397,815,67,11,139,270,208,144,214,226,180,53,304,134,712,566,427
"Lysmd2",271,377,588,56,104,94,508,104,67,71,4,100,392,267,601,330,112,61,387,62,167,565,181
"Carm1",1524,50,181,72,264,847,283,334,52,492,415,432,192,143,55,284,247,66,322,379,627,406,283
"Tmod2",2,8,53,1,0,139,120,624,197,312,13,16,20,5,33,1,0,1,21,28,35,454,81
"Smarca4",3873,2424,2081,215,2371,3289,1283,1176,1256,242,4238,2253,2107,667,890,2442,1719,604,2486,1194,2345,3121,1982
"Bcl2l10",6395,2145,5535,575,0,1098,509,470,262,126,1127,3122,4832,2124,6424,4716,379,168,4989,255,2442,564,230
"Gnb5",1721,193,486,80,229,12,217,1075,92,98,24,139,148,129,1304,286,208,82,437,25,347,651,169
"Ldlr",958,1200,1174,256,157,52,752,686,481,64,1656,94,1396,532,2538,852,798,333,559,588,1103,586,250
"Kank2",171,842,872,340,733,47,535,216,20,390,1293,97,848,602,905,1110,360,235,786,416,308,155,326
"Dock6",1429,51,46,53,156,793,358,3468,106,274,170,372,113,62,155,160,197,105,41,217,923,1045,618
"Polr2m",17328,2970,1643,344,4022,490,1364,6289,898,4973,139,479,1712,2953,8570,3605,1449,708,4754,1444,2476,7086,1592
"Rab27a",265,98,237,21,0,164,34,306,148,237,186,83,319,153,243,30,207,10,183,81,319,552,88
"Aqp9",12,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,21,1,0,0,0,0,0
"Lipc",0,1,0,0,0,0,3,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0
"Sltm",1825,803,802,131,46,28,127,1246,264,1088,65,495,1052,466,1977,582,477,174,679,369,748,903,336
"Rsl24d1",226,357,280,10,352,88,139,483,335,1051,29,271,538,200,886,436,118,59,403,42,1334,914,130
"Nedd4",1457,7759,8565,4557,7678,1076,6178,8588,1284,4072,14455,261,10129,5320,13265,7725,6436,2816,7192,5345,12125,3602,1285
"Rnf111",8481,245,521,25,809,270,603,1081,868,977,179,980,538,350,807,884,529,357,547,1189,453,776,382
"Ccnb2",3753,956,1188,114,789,382,1215,92,925,1688,41,569,2446,1470,2733,1622,508,245,1790,109,2127,2311,986
"Myo1e",2631,273,2076,748,1439,240,1188,4509,665,4574,6289,279,2637,1036,1724,1942,1598,508,1588,1193,5340,1454,1478
"Mns1",729,165,169,34,87,279,8,93,19,5,108,138,238,151,301,205,111,1,396,1,185,230,48
"Fam81a",346,59,546,119,160,163,242,397,26,0,167,143,380,314,541,233,190,101,130,144,337,354,26
"Gcnt3",47,0,20,2,15,0,0,0,1,0,8,13,3,6,96,22,0,0,2,0,0,0,0
"Tcf12",3399,352,496,57,13,1570,181,628,516,694,494,179,621,261,497,175,540,111,491,758,716,944,287
"Anxa2",1641,1588,1512,1094,1320,3156,1577,3915,436,2427,23,251,1349,3101,3193,2292,620,235,2950,165,3546,10137,839
"Cgnl1",545,138,105,16,0,218,667,1227,446,521,315,374,221,135,186,225,49,41,104,303,1089,424,290
"Ice2",433,201,568,23,76,371,325,350,58,8,600,67,419,177,496,413,93,27,424,122,838,0,84
"Rora",452,8,98,4,14,32,245,259,31,174,81,21,20,30,111,77,22,34,2,26,188,498,63
"Rp9",3189,395,578,103,916,426,141,253,424,397,10,915,273,358,1205,986,240,73,1254,129,366,1166,525
"Itga11",131,54,50,13,18,0,0,0,66,0,52,54,49,68,80,0,106,1,35,38,99,70,0
"Fem1b",184,116,205,76,183,987,31,148,45,200,221,69,378,172,295,371,59,56,253,294,161,546,86
"Cln6",123,571,463,92,784,690,61,440,415,1171,43,482,478,414,524,542,275,126,576,485,408,930,409
"Calml4",66,5,9,4,9,99,42,119,0,106,5,17,64,18,79,39,2,0,39,0,304,31,0
"Anp32a",154,86,129,11,122,38,205,121,83,25,1,116,205,94,265,71,85,6,203,1,154,523,10
"Irak1bp1",87,54,91,6,135,0,80,127,21,249,19,25,64,33,111,0,50,14,80,16,40,113,160
"Glce",1521,260,579,80,186,684,321,1370,24,112,1282,72,719,294,354,871,60,200,276,574,624,334,290
"Phip",2293,1762,3628,187,90,984,1235,1085,114,1150,507,95,1793,1008,5812,1282,913,378,1407,517,1211,2141,1089
"Kif23",1967,1737,2456,80,249,70,131,959,1464,499,1196,538,2429,1366,2354,1746,648,249,1732,316,2351,568,554
"Ankk1",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Lca5",77,90,39,1,31,26,119,190,74,68,49,2,111,58,85,0,56,19,38,1,192,416,0
"Drd2",0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0
"Sh3bgrl2",136,153,249,9,1,145,277,1223,99,950,43,66,166,148,234,85,106,27,95,161,844,51,165
"Elovl4",0,19,26,5,23,0,10,0,0,0,0,6,1,0,48,0,0,0,0,0,42,168,0
"Bckdhb",631,544,298,21,90,35,440,843,407,620,12,161,545,226,1040,401,140,65,424,150,465,1635,236
"Zw10",1185,329,663,28,28,57,976,561,379,166,135,81,1092,400,935,346,275,63,570,220,793,1175,177
"Tent5a",1181,108,330,16,28,182,182,316,58,353,19,39,22,68,675,15,156,77,38,76,197,741,149
"Usp28",710,579,1398,81,76,368,584,652,626,14,680,213,1167,356,1189,440,553,186,488,353,1080,764,390
"Tmprss5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Htr3a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nnmt",0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0
"Cyp19a1",130,397,610,194,172,0,0,36,30,10,284,34,378,159,295,0,263,184,21,39,74,31,0
"Paqr5",3,0,4,0,0,74,99,181,2,191,11,10,14,18,0,0,0,1,0,0,11,0,40
"Idh3a",2135,1520,1178,20,1548,497,1248,2042,531,2246,62,218,1302,1258,3016,1191,582,139,2018,266,3130,3657,703
"Tle3",78,102,49,19,87,38,42,181,243,102,78,101,10,41,27,44,82,27,41,93,79,56,184
"Acsbg1",3085,3254,4799,2241,2471,0,1,38,25,0,2160,444,4235,2754,2342,4684,796,91,7824,7,72,1,7
"Dnaja4",2584,70,172,41,17,7,8,380,91,97,65,62,102,78,119,192,68,47,266,68,146,127,63
"Imp3",216,373,254,85,2315,808,671,1216,304,671,187,701,598,277,936,878,330,244,627,404,626,1694,833
"Thsd4",588,14,61,16,0,466,304,1738,228,707,28,46,8,13,87,107,0,45,2,106,53,277,183
"Ptpn9",3012,131,306,28,33,158,20,249,54,195,53,143,193,228,108,37,229,59,348,349,67,90,43
"Crabp1",0,36,22,2,0,6,1,613,10,1188,0,1,4,0,114,0,0,0,4,2,72,5847,22
"Nr2e3",0,7,6,0,0,50,0,162,0,169,0,16,0,8,14,0,12,1,3,0,132,0,129
"Ireb2",467,33,214,13,524,112,434,213,129,1002,248,236,247,107,240,211,225,78,179,467,382,83,169
"Pkm",15295,1626,2584,1024,311,1784,3101,8180,1980,2802,11980,769,5099,1558,1616,4632,1694,665,3993,698,7890,9739,2947
"Man2c1",1777,396,570,86,340,98,194,791,335,2,595,112,689,344,899,183,534,131,541,92,350,869,247
"Celf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neil1",179,70,96,15,49,236,1,214,11,62,76,93,85,119,109,86,66,31,44,52,184,52,113
"Commd4",890,50,101,92,679,255,117,2024,86,2101,206,223,376,189,492,287,262,33,582,42,1660,1853,288
"1700017B05Rik",1790,836,1214,171,215,33,1157,2905,511,1392,2307,178,2625,750,1098,1374,626,417,642,1010,1679,1215,828
"Psma4",614,409,764,64,287,299,744,1475,215,616,2,301,819,537,1297,595,210,60,780,119,1481,1958,200
"Chrna3",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Fam219b",17,325,586,219,97,837,123,540,86,163,163,69,582,375,445,87,292,31,549,26,369,1646,190
"Mpi",322,108,381,91,135,0,138,385,40,36,73,73,265,236,226,231,84,11,388,23,391,98,1
"Ube2q2",784,26,75,6,4,72,179,151,217,154,28,86,49,61,130,67,64,14,90,80,174,384,127
"Ulk3",105,128,173,39,0,0,141,334,81,0,96,113,181,124,251,23,134,34,32,26,107,464,58
"Fbxo22",1377,475,399,46,418,659,211,2270,51,33,78,68,446,469,1007,551,186,88,646,69,812,1005,437
"Cyp1a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
"Nrg4",1297,61,243,23,5,1230,469,2886,111,822,92,136,673,203,454,257,130,64,203,132,2090,2153,320
"Csk",281,30,76,9,261,48,92,95,48,562,25,180,120,81,158,144,68,42,97,45,234,564,71
"Tmem266",0,7,24,0,0,65,144,173,30,283,8,3,29,1,40,18,0,4,9,16,187,90,0
"Etfa",6784,1590,1551,142,837,1057,1068,2143,1279,1846,6,938,1358,1265,4173,1670,709,202,2496,124,2182,6502,1380
"Cyp1a1",0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
"Clk3",6216,567,1241,195,130,194,3226,1487,244,583,95,331,326,704,2007,616,611,266,794,686,1280,1948,592
"Isl2",235,146,149,9,0,287,99,10,80,282,260,151,189,78,117,0,0,95,309,584,427,731,374
"Rcn2",1615,1398,1988,519,1815,1399,1118,332,386,1647,19,209,1740,1694,4465,2584,402,377,2245,477,1612,2744,960
"Pstpip1",346,120,132,11,0,650,485,438,416,0,55,218,238,95,201,188,21,27,110,9,1080,0,972
"Cyp11a1",0,0,0,2,0,0,0,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0
